daily_volume_liters,project_npv_rub,equity_irr,min_dscr
2200,-15870798.323865127,-0.10393676513255568,0.09584425905707503
2400,-13234562.758669343,-0.05044934344431529,0.22785616304134818
2600,-10598327.193473557,-0.001710002082073614,0.35986806702562135
2800,-7962091.62827777,0.04384741452909857,0.4918799710098945
3000,-5325856.063081987,0.08722421316500406,0.6238918749941677
3200,-2689620.4978862028,0.12909568574179664,0.7559037789784409
3400,-53384.932690416,0.16993390893548344,0.887915682962714
3600,2582850.6325053666,0.2100757448605819,1.019927586946987
3800,5219086.197701154,0.24976288039121441,1.1519394909312604
4000,7855321.762896938,0.2891667666303579,1.2839513949155335
4200,10491557.32809272,0.32840508180331307,1.4159632988998065
4400,13127792.8932885,0.3675533183423172,1.5479752028840796
4600,15764028.458484292,0.4066535156889928,1.679987106868353
4800,18400264.023680072,0.4457212769944281,1.811999010852626
