scenario,daily_volume_liters,margin_rub_per_liter,project_npv_rub,project_irr,equity_irr,min_dscr
downside,2550,7.25,-14677453.424707025,-0.010544968033722069,-0.07546592707350319,0.16906961204835155
base,3000,8.0,-5325856.063081987,0.12001607997920694,0.08722421316500406,0.6238918749941677
upside,3449,8.75,5218301.508403797,0.23341491935515268,0.25081313663701166,1.133684719833435
